Latitude (°),Longitude (°)
53.11572451,8.890078499
53.11557596,8.890558608
53.11369151,8.889047302
53.11177577,8.887178434
53.1102727,8.885167613
53.11139389,8.881801904
53.11343418,8.879628352
53.11528793,8.877760764
53.11448059,8.876878113
53.11259944,8.875125045
53.1106863,8.87324605
53.10882713,8.871452127
53.10679393,8.869529009
53.10473171,8.867540372
53.10408184,8.865041291
53.10293204,8.862364927
53.10296897,8.85960164
53.10299166,8.859469134
53.10332631,8.85676471
53.10398332,8.854898336
53.10469398,8.852171168
53.10572247,8.849493301
53.10602119,8.847836627
53.10621984,8.842372454
53.10464949,8.8403766
53.10216031,8.838717847
53.10100014,8.836607751
53.1014457,8.832707781
53.10146581,8.828996645
53.09956152,8.826693226
53.097439,8.824659296
53.09539183,8.822373163
53.09356907,8.819664822
53.09189326,8.816588957
53.0905757,8.813630993
53.08907409,8.810705118
53.08767311,8.807507747
53.08539401,8.804187966
53.08519032,8.801962854
53.08449003,8.799784291
53.08355721,8.797337963
53.08355138,8.797203085
53.08282378,8.796386298
53.08197689,8.794985631
53.08133889,8.792043598
53.08017087,8.789796292
